0,178,24,0
1,1380,939,1
2,2848,96,0
3,3510,1671,0
4,457,334,0
5,3888,666,1
6,984,965,0
7,2721,1482,0
8,1286,525,1
9,2716,1432,0
10,738,1325,1
11,1251,1832,1
12,2728,1698,1
13,3815,169,1
14,3683,1533,0
15,1247,1945,0
16,123,862,0
17,1234,1946,0
18,252,1240,0
19,611,673,1
20,2576,1676,0
21,928,1700,1
22,53,857,0
23,1807,1711,1
24,274,1420,1
25,2574,946,0
26,2678,1825,0
27,1795,962,0
28,3384,1498,0
29,3520,1079,0
30,1256,61,0
31,1424,1728,1
32,3913,192,0
33,3085,1528,1
34,2573,1969,0
35,463,1670,1
36,3875,598,0
37,298,1513,0
38,3479,821,0
39,2542,236,0
40,3955,1743,0
41,1323,280,0
42,3447,1830,1
43,2936,337,0
44,1621,1830,0
45,3373,1646,0
46,1393,1368,0
47,3874,1318,1
48,938,955,0
49,3022,474,0
50,2482,1183,1
51,3854,923,0
52,376,825,0
53,2519,135,1
54,2945,1622,0
55,953,268,1
56,2628,1479,1
57,2097,981,2
58,890,1846,0
59,2139,1806,0
60,2421,1007,0
61,2290,1810,0
62,1115,1052,0
63,2588,302,0
64,327,265,0
65,241,341,0
66,1917,687,0
67,2991,792,0
68,2573,599,0
69,19,674,0
70,3911,1673,0
71,872,1559,0
72,2863,558,0
73,929,1766,0
74,839,620,0
75,3893,102,0
76,2178,1619,0
77,3822,899,0
78,378,1048,0
79,1178,100,0
80,2599,901,0
81,3416,143,0
82,2961,1605,0
83,611,1384,0
84,3113,885,0
85,2597,1830,0
86,2586,1286,0
87,161,906,0
88,1429,134,0
89,742,1025,0
90,1625,1651,0
91,1187,706,0
92,1787,1009,0
93,22,987,0
94,3640,43,0
95,3756,882,0
96,776,392,0
97,1724,1642,0
98,198,1810,0
99,3950,1558,0
100,178,24,0
