0,2011,1064,0
1,1380,939,1
2,2848,96,0
3,3510,1671,0
4,457,334,0
5,3888,666,1
6,984,965,0
7,2721,1482,0
8,1286,525,1
9,2716,1432,0
10,738,1325,1
11,1251,1832,1
12,2728,1698,1
13,3815,169,1
14,3683,1533,0
15,1247,1945,0
16,123,862,0
17,1234,1946,0
18,252,1240,0
19,611,673,1
20,2576,1676,0
21,928,1700,1
22,53,857,0
23,1807,1711,1
24,274,1420,1
25,2574,946,0
26,178,24,0
27,2678,1825,0
28,1795,962,0
29,3384,1498,0
30,3520,1079,0
31,1256,61,0
32,1424,1728,1
33,3913,192,0
34,3085,1528,1
35,2573,1969,0
36,463,1670,1
37,3875,598,0
38,298,1513,0
39,3479,821,0
40,2542,236,0
41,3955,1743,0
42,1323,280,0
43,3447,1830,1
44,2936,337,0
45,1621,1830,0
46,3373,1646,0
47,1393,1368,0
48,3874,1318,1
49,938,955,0
50,3022,474,0
51,2482,1183,1
52,3854,923,0
53,376,825,0
54,2519,135,1
55,2945,1622,0
56,953,268,1
57,2628,1479,1
58,2097,981,2
59,890,1846,0
60,2139,1806,0
61,2421,1007,0
62,2290,1810,0
63,1115,1052,0
64,2588,302,0
65,327,265,0
66,241,341,0
67,1917,687,0
68,2991,792,0
69,2573,599,0
70,19,674,0
71,3911,1673,0
72,872,1559,0
73,2863,558,0
74,929,1766,0
75,839,620,0
76,3893,102,0
77,2178,1619,0
78,3822,899,0
79,378,1048,0
80,1178,100,0
81,2599,901,0
82,3416,143,0
83,2961,1605,0
84,611,1384,0
85,3113,885,0
86,2597,1830,0
87,2586,1286,0
88,161,906,0
89,1429,134,0
90,742,1025,0
91,1625,1651,0
92,1187,706,0
93,1787,1009,0
94,22,987,0
95,3640,43,0
96,3756,882,0
97,776,392,0
98,1724,1642,0
99,198,1810,0
100,3950,1558,0
101,2011,1064,0
